"ZipCode","Category","YearsAhead","AbsoluteValue","NormalizedValue","Rank","Metric"
"60647","Median Home Price",2,564155.263157584,0.321660429809978,45,"Median Home Price in Dollars"
"60649","Median Home Price",2,128311.842105263,0.905936494301279,5,"Median Home Price in Dollars"
"60651","Median Home Price",2,254453.947368229,0.736834910407357,19,"Median Home Price in Dollars"
"60652","Median Home Price",2,212203.947368421,0.793473745668523,14,"Median Home Price in Dollars"
"60653","Median Home Price",2,360247.368421053,0.595012043028581,35,"Median Home Price in Dollars"
"60654","Median Home Price",2,580486.842105659,0.2997669005887,46,"Median Home Price in Dollars"
"60655","Median Home Price",2,282323.684210526,0.699473740376822,25,"Median Home Price in Dollars"
"60656","Median Home Price",2,340234.210526316,0.621840964994519,32,"Median Home Price in Dollars"
"60657","Median Home Price",2,530065.131578623,0.367360438012131,43,"Median Home Price in Dollars"
"60659","Median Home Price",2,282447.368421053,0.699307933758492,26,"Median Home Price in Dollars"
"60660","Median Home Price",2,270642.105263158,0.715133646308025,23,"Median Home Price in Dollars"
"60707","Median Home Price",2,312739.078947368,0.65869995263928,29,"Median Home Price in Dollars"
"60827","Median Home Price",2,66861.1842105263,0.988315043158228,3,"Median Home Price in Dollars"
"6761","Median Home Price",3,498602.631579429,0.441421426592068,42,"Median Home Price in Dollars"
"12311","Median Home Price",3,660194.210527205,0.234680808683391,49,"Median Home Price in Dollars"
"60608","Median Home Price",3,346868.421052632,0.635550505882355,31,"Median Home Price in Dollars"
"60609","Median Home Price",3,280765.789473684,0.720122356637262,22,"Median Home Price in Dollars"
"60610","Median Home Price",3,640934.21052701,0.259322094614809,48,"Median Home Price in Dollars"
"60612","Median Home Price",3,380021.171052632,0.59313480535512,35,"Median Home Price in Dollars"
"60613","Median Home Price",3,371207.894736842,0.604410530261026,34,"Median Home Price in Dollars"
"60614","Median Home Price",3,843624.263157895,0,51,"Median Home Price in Dollars"
"60615","Median Home Price",3,269599.631578947,0.73440836335776,19,"Median Home Price in Dollars"
"60616","Median Home Price",3,346370.394736302,0.636187681835725,30,"Median Home Price in Dollars"
"60617","Median Home Price",3,150081.578947368,0.887320020098735,9,"Median Home Price in Dollars"
"60618","Median Home Price",3,584348.684210076,0.331717740177697,44,"Median Home Price in Dollars"
"60619","Median Home Price",3,142498.684210378,0.897021592134048,7,"Median Home Price in Dollars"
"60620","Median Home Price",3,151413.157894597,0.885616395094655,10,"Median Home Price in Dollars"
"60621","Median Home Price",3,62242.1052631579,0.999702033966646,2,"Median Home Price in Dollars"
"60622","Median Home Price",3,660510.526315789,0.234276113574821,50,"Median Home Price in Dollars"
"60623","Median Home Price",3,141109.210526316,0.898799287790476,6,"Median Home Price in Dollars"
"60624","Median Home Price",3,175936.842105263,0.854240740124732,11,"Median Home Price in Dollars"
"60625","Median Home Price",3,386355.263157895,0.585030954125621,37,"Median Home Price in Dollars"
"60626","Median Home Price",3,219377.631578947,0.798662499496656,13,"Median Home Price in Dollars"
"60628","Median Home Price",3,88007.1578947369,0.966738169536411,4,"Median Home Price in Dollars"
"60629","Median Home Price",3,238989.105263029,0.773571537368877,16,"Median Home Price in Dollars"
"60630","Median Home Price",3,416618.421052894,0.546312204028489,40,"Median Home Price in Dollars"
"60631","Median Home Price",3,410853.157894737,0.553688294264655,39,"Median Home Price in Dollars"
"60632","Median Home Price",3,261165.789473684,0.745198639308649,17,"Median Home Price in Dollars"
"60633","Median Home Price",3,143076.315789474,0.896282569034185,8,"Median Home Price in Dollars"
"60634","Median Home Price",3,355621.052631579,0.624352369984794,32,"Median Home Price in Dollars"
"60636","Median Home Price",3,62009.2105263158,1,1,"Median Home Price in Dollars"
"60637","Median Home Price",3,226555.263157895,0.789479422028046,15,"Median Home Price in Dollars"
"60638","Median Home Price",3,296256.421052454,0.700303608870551,25,"Median Home Price in Dollars"
"60639","Median Home Price",3,323577.631578947,0.665348792641633,28,"Median Home Price in Dollars"
"60640","Median Home Price",3,315665.789473684,0.675471220656069,27,"Median Home Price in Dollars"
"60641","Median Home Price",3,386142.105263158,0.585303668800216,36,"Median Home Price in Dollars"
"60642","Median Home Price",3,638290.789473684,0.262704093265456,47,"Median Home Price in Dollars"
"60643","Median Home Price",3,262318.421052632,0.743723959957136,18,"Median Home Price in Dollars"
"60644","Median Home Price",3,183252.631578947,0.844880903144811,12,"Median Home Price in Dollars"
"60645","Median Home Price",3,274428.947368421,0.728229726222748,21,"Median Home Price in Dollars"
"60646","Median Home Price",3,486313.157894737,0.457144605979818,41,"Median Home Price in Dollars"
"60647","Median Home Price",3,596207.894736375,0.316545040411525,45,"Median Home Price in Dollars"
"60649","Median Home Price",3,134730.263157895,0.906960526941314,5,"Median Home Price in Dollars"
"60651","Median Home Price",3,274218.421052343,0.728499074049878,20,"Median Home Price in Dollars"
"60652","Median Home Price",3,222668.421052632,0.794452256279609,14,"Median Home Price in Dollars"
"60653","Median Home Price",3,387271.052631579,0.583859291079213,38,"Median Home Price in Dollars"
"60654","Median Home Price",3,608205.263158488,0.301195581132664,46,"Median Home Price in Dollars"
"60655","Median Home Price",3,292235.526315789,0.705447950350576,24,"Median Home Price in Dollars"
"60656","Median Home Price",3,360476.315789474,0.618140535730134,33,"Median Home Price in Dollars"
"60657","Median Home Price",3,551678.947367935,0.373515472619193,43,"Median Home Price in Dollars"
"60659","Median Home Price",3,302421.052631579,0.692416565807128,26,"Median Home Price in Dollars"
"60660","Median Home Price",3,285713.157894737,0.713792682708395,23,"Median Home Price in Dollars"
"60707","Median Home Price",3,331883.618421053,0.654722094992783,29,"Median Home Price in Dollars"
"60827","Median Home Price",3,69154.5263157895,0.990858267422798,3,"Median Home Price in Dollars"
"6761","Median Home Price",4,516711.842105905,0.44806587755711,42,"Median Home Price in Dollars"
"12311","Median Home Price",4,665298.947369606,0.266379122240992,47,"Median Home Price in Dollars"
"60608","Median Home Price",4,362657.894736842,0.63643728294556,31,"Median Home Price in Dollars"
"60609","Median Home Price",4,294771.052631579,0.719446774575895,22,"Median Home Price in Dollars"
"60610","Median Home Price",4,666753.947369346,0.264600002656769,48,"Median Home Price in Dollars"
"60612","Median Home Price",4,407344.894736842,0.581795690592023,36,"Median Home Price in Dollars"
"60613","Median Home Price",4,381510.526315789,0.613384990119274,34,"Median Home Price in Dollars"
"60614","Median Home Price",4,883149.184210526,0,51,"Median Home Price in Dollars"
"60615","Median Home Price",4,281524.592105263,0.735644051103883,19,"Median Home Price in Dollars"
"60616","Median Home Price",4,346660.526315069,0.655998266767072,29,"Median Home Price in Dollars"
"60617","Median Home Price",4,156867.105263158,0.888070563956453,9,"Median Home Price in Dollars"
"60618","Median Home Price",4,614956.578946768,0.327935887597189,44,"Median Home Price in Dollars"
"60619","Median Home Price",4,148656.57894717,0.898110088470656,7,"Median Home Price in Dollars"
"60620","Median Home Price",4,158534.210526129,0.886032089988862,10,"Median Home Price in Dollars"
"60621","Median Home Price",4,66339.4736842105,0.998764366213666,2,"Median Home Price in Dollars"
"60622","Median Home Price",4,694497.368421053,0.2306763849693,50,"Median Home Price in Dollars"
"60623","Median Home Price",4,149903.947368421,0.896584853015408,8,"Median Home Price in Dollars"
"60624","Median Home Price",4,188090.789473684,0.849891410636535,11,"Median Home Price in Dollars"
"60625","Median Home Price",4,406048.684210526,0.583380648346701,35,"Median Home Price in Dollars"
"60626","Median Home Price",4,230986.842105263,0.797439721745568,13,"Median Home Price in Dollars"
"60628","Median Home Price",4,90659.7105263158,0.969026490154235,4,"Median Home Price in Dollars"
"60629","Median Home Price",4,251989.723684038,0.771758183636565,16,"Median Home Price in Dollars"
"60630","Median Home Price",4,439832.894737191,0.54207057920838,40,"Median Home Price in Dollars"
"60631","Median Home Price",4,427154.210526316,0.557573600092081,39,"Median Home Price in Dollars"
"60632","Median Home Price",4,276296.052631579,0.742037313630466,18,"Median Home Price in Dollars"
"60633","Median Home Price",4,146668.421052632,0.900541133589099,6,"Median Home Price in Dollars"
"60634","Median Home Price",4,374244.736842105,0.622269325754865,32,"Median Home Price in Dollars"
"60636","Median Home Price",4,65328.9473684211,1,1,"Median Home Price in Dollars"
"60637","Median Home Price",4,239573.684210526,0.786940052358051,15,"Median Home Price in Dollars"
"60638","Median Home Price",4,311658.894736605,0.698796952837274,25,"Median Home Price in Dollars"
"60639","Median Home Price",4,344861.842105263,0.658197630549938,28,"Median Home Price in Dollars"
"60640","Median Home Price",4,325921.052631579,0.681357719552897,27,"Median Home Price in Dollars"
"60641","Median Home Price",4,408764.473684211,0.580059882545929,37,"Median Home Price in Dollars"
"60642","Median Home Price",4,670371.052631579,0.260177141618016,49,"Median Home Price in Dollars"
"60643","Median Home Price",4,276082.894736842,0.742297955132271,17,"Median Home Price in Dollars"
"60644","Median Home Price",4,195986.842105263,0.840236412782644,12,"Median Home Price in Dollars"
"60645","Median Home Price",4,290980.263157895,0.724082010172806,20,"Median Home Price in Dollars"
"60646","Median Home Price",4,496734.210526316,0.472493778310373,41,"Median Home Price in Dollars"
"60647","Median Home Price",4,628260.526315167,0.311668318308648,45,"Median Home Price in Dollars"
"60649","Median Home Price",4,141148.684210526,0.907290461367314,5,"Median Home Price in Dollars"
"60651","Median Home Price",4,293982.894736458,0.720410504573779,21,"Median Home Price in Dollars"
"60652","Median Home Price",4,233132.894736842,0.794815608847769,14,"Median Home Price in Dollars"
"60653","Median Home Price",4,414294.736842105,0.57329768358244,38,"Median Home Price in Dollars"
"60654","Median Home Price",4,635923.684211318,0.302298095427222,46,"Median Home Price in Dollars"
"60655","Median Home Price",4,302147.368421053,0.710427291494924,24,"Median Home Price in Dollars"
"60656","Median Home Price",4,380718.421052632,0.614353546811165,33,"Median Home Price in Dollars"
"60657","Median Home Price",4,573292.763157247,0.378880843362039,43,"Median Home Price in Dollars"
"60659","Median Home Price",4,322394.736842105,0.685669566619791,26,"Median Home Price in Dollars"
"60660","Median Home Price",4,300784.210526316,0.712094109987947,23,"Median Home Price in Dollars"
