ZipCode,Category,Destination,YearsAhead,AbsoluteValue,NormalizedValue,Rank,Metric
60625,Median Home Price,,2,366661.8421,0.58641303,38,Median Home Price in Dollars
60626,Median Home Price,,2,207768.4211,0.799419853,13,Median Home Price in Dollars
60628,Median Home Price,,2,85354.60526,0.963523426,4,Median Home Price in Dollars
60629,Median Home Price,,2,225988.4868,0.774994686,16,Median Home Price in Dollars
60630,Median Home Price,,2,393403.9474,0.550563522,39,Median Home Price in Dollars
60631,Median Home Price,,2,394552.1053,0.549024343,40,Median Home Price in Dollars
60632,Median Home Price,,2,246035.5263,0.748120344,17,Median Home Price in Dollars
60633,Median Home Price,,2,139484.2105,0.890959218,8,Median Home Price in Dollars
60634,Median Home Price,,2,336997.3684,0.626180159,31,Median Home Price in Dollars
60636,Median Home Price,,2,58689.47368,0.999269745,2,Median Home Price in Dollars
60637,Median Home Price,,2,213536.8421,0.791686915,15,Median Home Price in Dollars
60638,Median Home Price,,2,280853.9474,0.701444017,24,Median Home Price in Dollars
60639,Median Home Price,,2,302293.4211,0.672703027,27,Median Home Price in Dollars
60640,Median Home Price,,2,305410.5263,0.668524348,28,Median Home Price in Dollars
60641,Median Home Price,,2,363519.7368,0.590625223,37,Median Home Price in Dollars
60642,Median Home Price,,2,606210.5263,0.265282652,47,Median Home Price in Dollars
60643,Median Home Price,,2,248553.9474,0.744744239,18,Median Home Price in Dollars
60644,Median Home Price,,2,170518.4211,0.849355868,12,Median Home Price in Dollars
60645,Median Home Price,,2,257877.6316,0.732245242,21,Median Home Price in Dollars
60646,Median Home Price,,2,475892.1053,0.439982855,41,Median Home Price in Dollars
60647,Median Home Price,,2,564155.2632,0.32166043,45,Median Home Price in Dollars
60649,Median Home Price,,2,128311.8421,0.905936494,5,Median Home Price in Dollars
60651,Median Home Price,,2,254453.9474,0.73683491,19,Median Home Price in Dollars
60652,Median Home Price,,2,212203.9474,0.793473746,14,Median Home Price in Dollars
60653,Median Home Price,,2,360247.3684,0.595012043,35,Median Home Price in Dollars
60654,Median Home Price,,2,580486.8421,0.299766901,46,Median Home Price in Dollars
60655,Median Home Price,,2,282323.6842,0.69947374,25,Median Home Price in Dollars
60656,Median Home Price,,2,340234.2105,0.621840965,32,Median Home Price in Dollars
60657,Median Home Price,,2,530065.1316,0.367360438,43,Median Home Price in Dollars
60659,Median Home Price,,2,282447.3684,0.699307934,26,Median Home Price in Dollars
60660,Median Home Price,,2,270642.1053,0.715133646,23,Median Home Price in Dollars
60707,Median Home Price,,2,312739.0789,0.658699953,29,Median Home Price in Dollars
60827,Median Home Price,,2,66861.18421,0.988315043,3,Median Home Price in Dollars
6761,Median Home Price,,3,498602.6316,0.441421427,42,Median Home Price in Dollars
12311,Median Home Price,,3,660194.2105,0.234680809,49,Median Home Price in Dollars
60608,Median Home Price,,3,346868.4211,0.635550506,31,Median Home Price in Dollars
60609,Median Home Price,,3,280765.7895,0.720122357,22,Median Home Price in Dollars
60610,Median Home Price,,3,640934.2105,0.259322095,48,Median Home Price in Dollars
60612,Median Home Price,,3,380021.1711,0.593134805,35,Median Home Price in Dollars
60613,Median Home Price,,3,371207.8947,0.60441053,34,Median Home Price in Dollars
60614,Median Home Price,,3,843624.2632,0,51,Median Home Price in Dollars
60615,Median Home Price,,3,269599.6316,0.734408363,19,Median Home Price in Dollars
60616,Median Home Price,,3,346370.3947,0.636187682,30,Median Home Price in Dollars
60617,Median Home Price,,3,150081.5789,0.88732002,9,Median Home Price in Dollars
60618,Median Home Price,,3,584348.6842,0.33171774,44,Median Home Price in Dollars
60619,Median Home Price,,3,142498.6842,0.897021592,7,Median Home Price in Dollars
60620,Median Home Price,,3,151413.1579,0.885616395,10,Median Home Price in Dollars
60621,Median Home Price,,3,62242.10526,0.999702034,2,Median Home Price in Dollars
60622,Median Home Price,,3,660510.5263,0.234276114,50,Median Home Price in Dollars
60623,Median Home Price,,3,141109.2105,0.898799288,6,Median Home Price in Dollars
60624,Median Home Price,,3,175936.8421,0.85424074,11,Median Home Price in Dollars
60625,Median Home Price,,3,386355.2632,0.585030954,37,Median Home Price in Dollars
60626,Median Home Price,,3,219377.6316,0.798662499,13,Median Home Price in Dollars
60628,Median Home Price,,3,88007.15789,0.96673817,4,Median Home Price in Dollars
60629,Median Home Price,,3,238989.1053,0.773571537,16,Median Home Price in Dollars
60630,Median Home Price,,3,416618.4211,0.546312204,40,Median Home Price in Dollars
60631,Median Home Price,,3,410853.1579,0.553688294,39,Median Home Price in Dollars
60632,Median Home Price,,3,261165.7895,0.745198639,17,Median Home Price in Dollars
60633,Median Home Price,,3,143076.3158,0.896282569,8,Median Home Price in Dollars
60634,Median Home Price,,3,355621.0526,0.62435237,32,Median Home Price in Dollars
60636,Median Home Price,,3,62009.21053,1,1,Median Home Price in Dollars
60637,Median Home Price,,3,226555.2632,0.789479422,15,Median Home Price in Dollars
60638,Median Home Price,,3,296256.4211,0.700303609,25,Median Home Price in Dollars
60639,Median Home Price,,3,323577.6316,0.665348793,28,Median Home Price in Dollars
60640,Median Home Price,,3,315665.7895,0.675471221,27,Median Home Price in Dollars
60641,Median Home Price,,3,386142.1053,0.585303669,36,Median Home Price in Dollars
60642,Median Home Price,,3,638290.7895,0.262704093,47,Median Home Price in Dollars
60643,Median Home Price,,3,262318.4211,0.74372396,18,Median Home Price in Dollars
60644,Median Home Price,,3,183252.6316,0.844880903,12,Median Home Price in Dollars
60645,Median Home Price,,3,274428.9474,0.728229726,21,Median Home Price in Dollars
60646,Median Home Price,,3,486313.1579,0.457144606,41,Median Home Price in Dollars
60647,Median Home Price,,3,596207.8947,0.31654504,45,Median Home Price in Dollars
60649,Median Home Price,,3,134730.2632,0.906960527,5,Median Home Price in Dollars
60651,Median Home Price,,3,274218.4211,0.728499074,20,Median Home Price in Dollars
60652,Median Home Price,,3,222668.4211,0.794452256,14,Median Home Price in Dollars
60653,Median Home Price,,3,387271.0526,0.583859291,38,Median Home Price in Dollars
60654,Median Home Price,,3,608205.2632,0.301195581,46,Median Home Price in Dollars
