ZipCode,Category,Destination,YearsAhead,AbsoluteValue,NormalizedValue,Rank,Metric
60619,Distance To Work,60608,,8.409,0.401196326,36,Distance between two zipcodes in miles
60620,Distance To Work,60608,,7.662,0.454390088,30,Distance between two zipcodes in miles
60621,Distance To Work,60608,,5.254,0.625863419,22,Distance between two zipcodes in miles
60622,Distance To Work,60608,,3.489,0.751548814,10,Distance between two zipcodes in miles
60623,Distance To Work,60608,,2.177,0.844976145,4,Distance between two zipcodes in miles
60624,Distance To Work,60608,,2.923,0.791853593,5,Distance between two zipcodes in miles
60625,Distance To Work,60608,,8.346,0.405682546,34,Distance between two zipcodes in miles
60626,Distance To Work,60608,,11.055,0.212775048,45,Distance between two zipcodes in miles
60628,Distance To Work,60608,,11.469,0.183294168,48,Distance between two zipcodes in miles
60629,Distance To Work,60608,,4.94,0.648223314,18,Distance between two zipcodes in miles
60630,Distance To Work,60608,,9.252,0.341166417,38,Distance between two zipcodes in miles
60631,Distance To Work,60608,,12.619,0.101402834,49,Distance between two zipcodes in miles
60632,Distance To Work,60608,,2.134,0.848038168,2,Distance between two zipcodes in miles
60633,Distance To Work,60608,,13.884,0.011322367,50,Distance between two zipcodes in miles
60634,Distance To Work,60608,,9.621,0.314889981,39,Distance between two zipcodes in miles
60636,Distance To Work,60608,,4.859,0.653991312,17,Distance between two zipcodes in miles
60637,Distance To Work,60608,,6.356,0.547390159,25,Distance between two zipcodes in miles
60638,Distance To Work,60608,,6.703,0.522680339,26,Distance between two zipcodes in miles
60639,Distance To Work,60608,,6.353,0.547603788,24,Distance between two zipcodes in miles
60640,Distance To Work,60608,,8.346,0.405682546,34,Distance between two zipcodes in miles
60641,Distance To Work,60608,,7.788,0.445417646,31,Distance between two zipcodes in miles
60642,Distance To Work,60608,,3.602,0.743502101,11,Distance between two zipcodes in miles
60643,Distance To Work,60608,,10.404,0.259132664,41,Distance between two zipcodes in miles
60644,Distance To Work,60608,,4.617,0.671224097,15,Distance between two zipcodes in miles
60645,Distance To Work,60608,,11.055,0.212775048,45,Distance between two zipcodes in miles
60646,Distance To Work,60608,,11.143,0.206508581,47,Distance between two zipcodes in miles
60647,Distance To Work,60608,,4.94,0.648223314,18,Distance between two zipcodes in miles
60649,Distance To Work,60608,,8.299,0.40902941,33,Distance between two zipcodes in miles
60651,Distance To Work,60608,,4.635,0.66994232,16,Distance between two zipcodes in miles
60652,Distance To Work,60608,,7.073,0.496332692,28,Distance between two zipcodes in miles
60653,Distance To Work,60608,,4.164,0.703482162,14,Distance between two zipcodes in miles
60654,Distance To Work,60608,,3.447,0.754539628,9,Distance between two zipcodes in miles
60655,Distance To Work,60608,,10.468,0.254575233,42,Distance between two zipcodes in miles
60656,Distance To Work,60608,,10.986,0.217688528,44,Distance between two zipcodes in miles
60657,Distance To Work,60608,,6.297,0.55159154,23,Distance between two zipcodes in miles
60659,Distance To Work,60608,,9.717,0.308053835,40,Distance between two zipcodes in miles
60660,Distance To Work,60608,,9.031,0.356903795,37,Distance between two zipcodes in miles
60707,Distance To Work,60608,,8.264,0.411521755,32,Distance between two zipcodes in miles
60827,Distance To Work,60608,,14.043,0,51,Distance between two zipcodes in miles
6761,Distance To Work,60609,,4.94,0.681125742,14,Distance between two zipcodes in miles
12311,Distance To Work,60609,,5.254,0.660857217,16,Distance between two zipcodes in miles
60608,Distance To Work,60609,,2.947,0.809772786,8,Distance between two zipcodes in miles
60609,Distance To Work,60609,,0,1,1,Distance between two zipcodes in miles
60610,Distance To Work,60609,,6.297,0.593532146,23,Distance between two zipcodes in miles
60612,Distance To Work,60609,,5.073,0.672540666,15,Distance between two zipcodes in miles
60613,Distance To Work,60609,,9.676,0.375419571,35,Distance between two zipcodes in miles
60614,Distance To Work,60609,,7.609,0.508843274,28,Distance between two zipcodes in miles
60615,Distance To Work,60609,,3.098,0.80002582,9,Distance between two zipcodes in miles
60616,Distance To Work,60609,,2.924,0.811257423,6,Distance between two zipcodes in miles
60617,Distance To Work,60609,,7.924,0.488510199,30,Distance between two zipcodes in miles
60618,Distance To Work,60609,,9.88,0.362251485,36,Distance between two zipcodes in miles
60619,Distance To Work,60609,,5.478,0.646398141,17,Distance between two zipcodes in miles
60620,Distance To Work,60609,,4.831,0.688161632,12,Distance between two zipcodes in miles
60621,Distance To Work,60609,,2.314,0.850632585,4,Distance between two zipcodes in miles
60622,Distance To Work,60609,,6.401,0.586819003,24,Distance between two zipcodes in miles
60623,Distance To Work,60609,,3.726,0.759488768,10,Distance between two zipcodes in miles
60624,Distance To Work,60609,,5.738,0.629615285,19,Distance between two zipcodes in miles
60625,Distance To Work,60609,,11.234,0.274851536,42,Distance between two zipcodes in miles
60626,Distance To Work,60609,,13.813,0.108378518,48,Distance between two zipcodes in miles
60628,Distance To Work,60609,,8.536,0.449005939,32,Distance between two zipcodes in miles
