GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,,,,HD01_VD26,,,,HC01_EST_VC35,HC02_EST_VC35,HC03_EST_VC35,HC01_EST_VC36,HC01_EST_VC37,HC01_EST_VC38,HC01_EST_VC39,HC01_EST_VC01,HC01_EST_VC03,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC13,HC01_EST_VC14,HC01_MOE_VC55,HC02_EST_VC55,HC01_EST_VC02,HC02_EST_VC02,HC05_EST_VC02,HC01_EST_VC03,HC01_EST_VC06,HC01_EST_VC07,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC13,HC01_EST_VC15,HC01_EST_VC17,HC01_EST_VC18,HC01_EST_VC20
Id,Id2,Geography,Estimate; Total:,Estimate; Male:,m_lt_ql_19,m_20_69,m_70_and_over,Estimate; Female:,f_lt_ql_19,f_20_69,f_70_and_over,Total; Estimate; SUMMARY INDICATORS - Median age (years),Male; Estimate; SUMMARY INDICATORS - Median age (years),Female; Estimate; SUMMARY INDICATORS - Median age (years),Total; Estimate; SUMMARY INDICATORS - Sex ratio (males per 100 females),Total; Estimate; SUMMARY INDICATORS - Age dependency ratio,Total; Estimate; SUMMARY INDICATORS - Old-age dependency ratio,Total; Estimate; SUMMARY INDICATORS - Child dependency ratio,Total; Estimate; Workers 16 years and over,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van",Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Public transportation (excluding taxicab),Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Walked,Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Bicycle,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Taxicab, motorcycle, or other means",Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Worked at home,Total; Margin of Error; TRAVEL TIME TO WORK - Mean travel time to work (minutes),Male; Estimate; TRAVEL TIME TO WORK - Mean travel time to work (minutes),Total; Estimate; Total households,Married-couple family household; Estimate; Total households,Nonfamily household; Estimate; Total households,Total; Estimate; Average household size,Total; Estimate; FAMILIES - Total families,Total; Estimate; FAMILIES - Average family size,Total; Estimate; AGE OF OWN CHILDREN - Households with own children of the householder under 18 years,Total; Estimate; AGE OF OWN CHILDREN - Households with own children of the householder under 18 years - Under 6 years only,Total; Estimate; AGE OF OWN CHILDREN - Households with own children of the householder under 18 years - Under 6 years and 6 to 17 years,Total; Estimate; AGE OF OWN CHILDREN - Households with own children of the householder under 18 years - 6 to 17 years only,Total; Estimate; Total households,Total; Estimate; Total households - SELECTED HOUSEHOLDS BY TYPE - Households with one or more people under 18 years,Total; Estimate; Total households - SELECTED HOUSEHOLDS BY TYPE - Households with one or more people 60 years and over,Total; Estimate; Total households - SELECTED HOUSEHOLDS BY TYPE - Householder living alone - 65 years and over
8600000US60048,60048,ZCTA5 60048,29050,14516,4022,9228,1266,14534,3960,8859,1715,45.1,44.6,45.6,99.9,64.8,24.8,40.1,14266,84.6,5,1.8,0.4,1.1,7.1,1,29,10436,7263,2382,2.72,8054,3.17,3511,15,16.4,68.6,10436,34.7,38.2,8.9
8600000US60050,60050,ZCTA5 60050,32387,16105,4203,10912,990,16282,4014,10456,1812,40.2,38.1,41,98.9,59,22.4,36.5,16359,90.3,1.7,1.7,0,0.7,5.6,1.3,32.6,12339,6846,3717,2.61,8622,3.14,3828,15.9,17.1,67,12339,33.1,34.8,9.7
8600000US60051,60051,ZCTA5 60051,24154,11959,3265,7946,748,12195,3074,8095,1026,40.3,40,40.6,98.1,54.2,18.5,35.7,12864,93.7,1.4,1.2,0,1,2.7,1.6,39,8978,5361,2466,2.69,6512,3.13,2929,22.1,16.3,61.6,8978,35,34.4,7.6
8600000US60053,60053,ZCTA5 60053,23413,11445,2576,7289,1580,11968,2202,7596,2170,45.9,43.9,47.4,95.6,70.4,38.2,32.2,10917,87.4,5.9,1.6,0.7,0.6,3.8,1.3,29.8,8139,5169,1997,2.86,6142,3.38,2154,15.8,23.8,60.4,8139,28,55.8,14.1
8600000US60056,60056,ZCTA5 60056,55366,27528,7553,17498,2477,27838,6584,17808,3446,39.3,37.7,41,98.9,63.4,24.7,38.7,28412,85.9,6.9,2.4,0.7,1,3,0.8,28.4,20534,12172,5713,2.69,14821,3.23,6679,28,15.3,56.7,20534,33.6,37.6,10.8
8600000US60060,60060,ZCTA5 60060,37763,18976,5135,12774,1067,18787,4927,12425,1435,37.8,36.2,39.3,101,51.8,16,35.9,19685,88.3,3.4,0.9,0.3,1.4,5.6,1.6,30.3,12931,8267,2989,2.9,9942,3.33,4612,21.4,20.4,58.1,12931,38,35,7.2
8600000US60061,60061,ZCTA5 60061,26720,13232,3881,8584,767,13488,3372,8753,1363,38.3,37.2,39.2,98.1,58.4,18.3,40.1,13910,88.7,4.4,0.3,0.5,0.7,5.4,1.3,30.7,9892,6145,2673,2.69,7219,3.23,3853,23.6,14.3,62.1,9892,40.6,30.8,9.2
8600000US60062,60062,ZCTA5 60062,40631,19493,4846,11445,3202,21138,4778,12041,4319,49.2,48.1,50.3,92.2,92.2,49.2,43.1,17548,78.6,9,1.2,0.3,0.9,10,1,32.2,15683,10163,4087,2.54,11596,3.01,4719,19.7,15.3,65,15683,30.8,53.2,17.2
8600000US60064,60064,ZCTA5 60064,15848,7849,2607,4827,415,7999,2592,4868,539,30.2,30.2,30.2,98.1,63.5,16,47.6,6318,87.6,3.4,2.9,0,2.9,3.2,1.9,25,4839,1701,1615,3.13,3224,3.91,1605,16.9,24.9,58.2,4839,40.2,32.9,9.8
8600000US60067,60067,ZCTA5 60067,37998,18497,4915,11893,1689,19501,4452,12743,2306,43.3,41.9,44,94.9,61.5,24.8,36.7,19673,87.2,5.8,0.9,0,0.6,5.4,1.1,31.6,15364,8237,5464,2.46,9900,3.12,4416,18.8,11.6,69.6,15364,29.4,37.9,11.5
8600000US60068,60068,ZCTA5 60068,37567,18131,5190,10848,2093,19436,4895,11638,2903,44.2,42.6,45.4,93.3,75.9,32.2,43.7,18016,76.5,12.8,2.3,0.2,1.2,6.9,0.8,33.1,14017,8303,4066,2.65,9951,3.24,4437,16.1,19.5,64.4,14017,33.1,42.6,12.6
8600000US60069,60069,ZCTA5 60069,8207,3823,849,2042,932,4384,798,2266,1320,52.8,52,53.9,87.2,103.8,67.4,36.5,3284,83.6,4.2,1.9,0,0.7,9.6,2.1,29.4,3360,1923,1171,2.36,2189,3.01,803,11.1,24.4,64.5,3360,24.9,62.9,25.1
8600000US60070,60070,ZCTA5 60070,16195,7995,1932,5324,739,8200,2142,5130,928,37.8,37.1,38.2,97.5,63.1,24.2,38.8,8166,91.5,2.6,0,0.4,1,4.4,1.8,23.6,5936,3519,1613,2.72,4323,3.21,1818,27,20.2,52.9,5936,32.2,39.8,9.4
8600000US60071,60071,ZCTA5 60071,3576,1771,397,1244,130,1805,384,1242,179,43.1,44.3,42.6,98.1,52.4,21.4,31,1886,91.1,0,4.2,0,0,4.7,2.2,35.4,1492,671,638,2.37,854,3.11,341,10.3,7.6,82.1,1492,27.3,36.9,12.2
8600000US60072,60072,ZCTA5 60072,955,457,155,281,21,498,185,289,24,40.1,44.6,35.7,91.8,71.5,14.2,57.3,437,90.4,0.9,0.5,0,1.4,6.9,3.7,37.6,303,214,40,3.15,263,3.38,135,14.1,25.9,60,303,47.2,24.1,3.3
8600000US60073,60073,ZCTA5 60073,60828,31455,11210,19171,1074,29373,9351,18457,1565,31.9,30.7,33.2,107.1,61.8,11.2,50.6,29295,91.5,3.3,0.7,0.1,0.7,3.8,1,36.3,18113,11132,3572,3.35,14541,3.77,8331,19.2,24,56.9,18113,50.9,25.3,4.1
8600000US60074,60074,ZCTA5 60074,39541,19966,5506,13401,1059,19575,5388,12559,1628,34.5,34,35,102,55.2,15.8,39.3,20854,88.5,3.6,2.9,0.3,0.5,4.2,1.1,29,14315,7352,4774,2.76,9541,3.38,4598,25.2,20.4,54.3,14315,34,28.6,8.5
8600000US60076,60076,ZCTA5 60076,32497,15790,3899,9992,1899,16707,3486,10726,2495,44.9,42.6,47.2,94.5,67,32,35,15166,81.4,10.1,2.1,0.4,1.1,5,1.2,32.4,10809,6502,2366,2.95,8443,3.41,3111,18.7,15,66.3,10809,32.1,50.2,10.8
8600000US60077,60077,ZCTA5 60077,28281,12990,3214,8471,1305,15291,3515,9817,1959,40.8,40.5,41.1,85,65.4,29,36.4,13148,83,9.1,2.1,1.2,0.6,4,2.1,31.8,10269,5035,3239,2.73,7030,3.41,2856,22.9,20.9,56.2,10269,32.2,46.6,15.2
8600000US60081,60081,ZCTA5 60081,9840,5024,1483,3141,400,4816,1392,3029,395,43.1,42,43.8,104.3,62.2,18.5,43.7,4522,89.8,2.4,0.4,0,1.8,5.6,3.7,41.7,3428,2449,703,2.87,2725,3.2,1239,14.9,16.9,68.3,3428,37,33.8,6.2
